S.N,District_Name,Zone,Ecological_Belt,Development_Region,Year_BS,Year_AD,condition,type,Male,Female,Age,Married,Unmarried,Education,Employment,lat,long,Age_Group,encoded_Conditions,encoded_Types,encoded_Education,encoded_Employment
414,Dailekh,Bheri,Hill,Mid-Western,2069,2012,Major,Psychosis,46,47,37,41,52.0,"College degree, bachelor, master",no,28.89826774,81.67159209,Middle-age,0,6,0,1
415,Dailekh,Bheri,Hill,Mid-Western,2069,2012,Severe,Anxiety,38,32,47,52,18.0,PhD/Doctorate,no,28.89826774,81.67159209,old,3,1,2,1
416,Dailekh,Bheri,Hill,Mid-Western,2069,2012,Major,Mental retardation,40,53,37,25,68.0,"College degree, bachelor, master",no,28.89826774,81.67159209,Middle-age,0,5,0,1
417,Dailekh,Bheri,Hill,Mid-Western,2069,2012,Major,Hysteria,20,38,41,40,18.0,PhD/Doctorate,no,28.89826774,81.67159209,old,0,4,2,1
418,Dailekh,Bheri,Hill,Mid-Western,2069,2012,Major,Alcoholism,28,49,35,43,34.0,"College degree, bachelor, master",no,28.89826774,81.67159209,Middle-age,0,0,0,1
419,Dailekh,Bheri,Hill,Mid-Western,2069,2012,Normal,Epilepsy,52,56,52,22,86.0,"College degree, bachelor, master",no,28.89826774,81.67159209,old,2,3,0,1
420,Jajarkot,Bheri,Hill,Mid-Western,2069,2012,Major,Depression,24,36,31,29,31.0,"College degree, bachelor, master",no,28.86798437,82.1977929,Middle-age,0,2,0,1
421,Jajarkot,Bheri,Hill,Mid-Western,2069,2012,Normal,Psychosis,46,19,44,36,29.0,PhD/Doctorate,no,28.86798437,82.1977929,old,2,6,2,1
422,Jajarkot,Bheri,Hill,Mid-Western,2069,2012,Severe,Anxiety,30,47,43,52,25.0,PhD/Doctorate,no,28.86798437,82.1977929,old,3,1,2,1
423,Jajarkot,Bheri,Hill,Mid-Western,2069,2012,Major,Mental retardation,31,36,58,26,41.0,"College degree, bachelor, master",no,28.86798437,82.1977929,old,0,5,0,1
424,Jajarkot,Bheri,Hill,Mid-Western,2069,2012,Severe,Hysteria,57,51,33,49,59.0,"College degree, bachelor, master",Unknown,28.86798437,82.1977929,Middle-age,3,4,0,0
425,Jajarkot,Bheri,Hill,Mid-Western,2069,2012,Normal,Alcoholism,46,23,26,37,32.0,"College degree, bachelor, master",Unknown,28.86798437,82.1977929,Middle-age,2,0,0,0
426,Jajarkot,Bheri,Hill,Mid-Western,2069,2012,Minor,Epilepsy,38,22,35,55,5.0,"College degree, bachelor, master",Unknown,28.86798437,82.1977929,Middle-age,1,3,0,0
427,Dolpa,Karnali,Mountain,Mid-Western,2069,2012,Severe,Depression,49,25,50,50,24.0,Unknown,no,29.25286365,83.07811054,old,3,2,4,1
428,Dolpa,Karnali,Mountain,Mid-Western,2069,2012,Severe,Psychosis,55,18,57,42,31.0,None,no,29.25286365,83.07811054,old,3,6,1,1
429,Dolpa,Karnali,Mountain,Mid-Western,2069,2012,Minor,Anxiety,36,20,30,55,1.0,"College degree, bachelor, master",Unknown,29.25286365,83.07811054,Middle-age,1,1,0,0
430,Dolpa,Karnali,Mountain,Mid-Western,2069,2012,Minor,Mental retardation,23,29,20,51,1.0,"College degree, bachelor, master",no,29.25286365,83.07811054,Middle-age,1,5,0,1
431,Dolpa,Karnali,Mountain,Mid-Western,2069,2012,Major,Hysteria,25,56,51,46,35.0,"College degree, bachelor, master",no,29.25286365,83.07811054,old,0,4,0,1
432,Dolpa,Karnali,Mountain,Mid-Western,2069,2012,Normal,Alcoholism,27,28,19,35,20.0,"Some College, short continuing education or equivalent",yes,29.25286365,83.07811054,young,2,0,3,3
433,Dolpa,Karnali,Mountain,Mid-Western,2069,2012,Major,Epilepsy,51,23,55,26,48.0,"College degree, bachelor, master",no,29.25286365,83.07811054,old,0,3,0,1
434,Jumla,Karnali,Mountain,Mid-Western,2069,2012,Normal,Depression,41,24,52,41,24.0,PhD/Doctorate,no,29.2728938,82.20976273,old,2,2,2,1
435,Jumla,Karnali,Mountain,Mid-Western,2069,2012,Severe,Psychosis,51,43,56,37,57.0,"College degree, bachelor, master",no,29.2728938,82.20976273,old,3,6,0,1
436,Jumla,Karnali,Mountain,Mid-Western,2069,2012,Minor,Anxiety,30,25,26,44,11.0,"College degree, bachelor, master",Unknown,29.2728938,82.20976273,Middle-age,1,1,0,0
437,Jumla,Karnali,Mountain,Mid-Western,2069,2012,Normal,Mental retardation,30,39,21,42,27.0,"College degree, bachelor, master",no,29.2728938,82.20976273,Middle-age,2,5,0,1
438,Jumla,Karnali,Mountain,Mid-Western,2069,2012,Major,Hysteria,50,43,58,25,68.0,None,no,29.2728938,82.20976273,old,0,4,1,1
439,Jumla,Karnali,Mountain,Mid-Western,2069,2012,Major,Alcoholism,36,40,21,20,56.0,"College degree, bachelor, master",no,29.2728938,82.20976273,Middle-age,0,0,0,1
440,Jumla,Karnali,Mountain,Mid-Western,2069,2012,Minor,Epilepsy,32,37,28,39,30.0,"College degree, bachelor, master",Unknown,29.2728938,82.20976273,Middle-age,1,3,0,0
441,Kalikot,Karnali,Mountain,Mid-Western,2069,2012,Major,Depression,33,27,55,26,34.0,PhD/Doctorate,no,29.21307603,81.76873832,old,0,2,2,1
442,Kalikot,Karnali,Mountain,Mid-Western,2069,2012,Major,Psychosis,33,27,28,60,0.0,Unknown,Unknown,29.21307603,81.76873832,Middle-age,0,6,4,0
443,Kalikot,Karnali,Mountain,Mid-Western,2069,2012,Severe,Anxiety,53,25,51,46,32.0,"College degree, bachelor, master",no,29.21307603,81.76873832,old,3,1,0,1
444,Kalikot,Karnali,Mountain,Mid-Western,2069,2012,Normal,Mental retardation,58,47,26,31,74.0,"College degree, bachelor, master",Unknown,29.21307603,81.76873832,Middle-age,2,5,0,0
445,Kalikot,Karnali,Mountain,Mid-Western,2069,2012,Major,Hysteria,24,41,59,32,33.0,Up to 12 years of school,no,29.21307603,81.76873832,old,0,4,5,1
446,Kalikot,Karnali,Mountain,Mid-Western,2069,2012,Minor,Alcoholism,34,22,55,45,11.0,"College degree, bachelor, master",no,29.21307603,81.76873832,old,1,0,0,1
447,Kalikot,Karnali,Mountain,Mid-Western,2069,2012,Major,Epilepsy,49,33,41,30,52.0,PhD/Doctorate,no,29.21307603,81.76873832,old,0,3,2,1
448,Mugu,Karnali,Mountain,Mid-Western,2069,2012,Minor,Depression,32,24,44,39,17.0,PhD/Doctorate,no,29.6346044,82.35940378,old,1,2,2,1
449,Mugu,Karnali,Mountain,Mid-Western,2069,2012,Minor,Psychosis,54,43,27,54,43.0,"College degree, bachelor, master",Unknown,29.6346044,82.35940378,Middle-age,1,6,0,0
450,Mugu,Karnali,Mountain,Mid-Western,2069,2012,Severe,Anxiety,50,46,18,5,91.0,Up to 12 years of school,no,29.6346044,82.35940378,young,3,1,5,1
451,Mugu,Karnali,Mountain,Mid-Western,2069,2012,Major,Mental retardation,22,57,43,33,46.0,PhD/Doctorate,no,29.6346044,82.35940378,old,0,5,2,1
452,Mugu,Karnali,Mountain,Mid-Western,2069,2012,Normal,Hysteria,34,19,21,18,35.0,"College degree, bachelor, master",no,29.6346044,82.35940378,Middle-age,2,4,0,1
453,Mugu,Karnali,Mountain,Mid-Western,2069,2012,Severe,Alcoholism,38,53,49,27,64.0,Up to 9 years of school,no,29.6346044,82.35940378,old,3,0,6,1
454,Mugu,Karnali,Mountain,Mid-Western,2069,2012,Minor,Epilepsy,53,39,26,24,68.0,"College degree, bachelor, master",Unknown,29.6346044,82.35940378,Middle-age,1,3,0,0
455,Humla,Karnali,Mountain,Mid-Western,2069,2012,Normal,Depression,25,36,56,38,23.0,"College degree, bachelor, master",no,30.03513341,81.89063467,old,2,2,0,1
456,Humla,Karnali,Mountain,Mid-Western,2069,2012,Severe,Psychosis,26,60,19,38,48.0,"Some College, short continuing education or equivalent",no,30.03513341,81.89063467,young,3,6,3,1
457,Humla,Karnali,Mountain,Mid-Western,2069,2012,Normal,Anxiety,46,30,59,25,51.0,Up to 9 years of school,no,30.03513341,81.89063467,old,2,1,6,1
458,Humla,Karnali,Mountain,Mid-Western,2069,2012,Major,Mental retardation,20,56,54,45,31.0,"College degree, bachelor, master",no,30.03513341,81.89063467,old,0,5,0,1
459,Humla,Karnali,Mountain,Mid-Western,2069,2012,Normal,Hysteria,53,29,40,41,41.0,PhD/Doctorate,no,30.03513341,81.89063467,old,2,4,2,1
460,Humla,Karnali,Mountain,Mid-Western,2069,2012,Major,Alcoholism,31,21,53,21,31.0,"College degree, bachelor, master",yes,30.03513341,81.89063467,old,0,0,0,3
461,Humla,Karnali,Mountain,Mid-Western,2069,2012,Minor,Epilepsy,28,44,36,34,38.0,Unknown,no,30.03513341,81.89063467,Middle-age,1,3,4,1
462,Bajura,Seti,Mountain,Far-Western,2069,2012,Severe,Depression,46,29,49,42,33.0,Unknown,yes,29.56558569,81.5497582,old,3,2,4,3
463,Bajura,Seti,Mountain,Far-Western,2069,2012,Severe,Psychosis,32,28,21,59,1.0,Unknown,no,29.56558569,81.5497582,Middle-age,3,6,4,1
464,Bajura,Seti,Mountain,Far-Western,2069,2012,Severe,Anxiety,58,31,26,53,36.0,Unknown,no,29.56558569,81.5497582,Middle-age,3,1,4,1
465,Bajura,Seti,Mountain,Far-Western,2069,2012,Minor,Mental retardation,48,50,35,29,69.0,"College degree, bachelor, master",no,29.56558569,81.5497582,Middle-age,1,5,0,1
466,Bajura,Seti,Mountain,Far-Western,2069,2012,Minor,Hysteria,26,37,33,56,7.0,"College degree, bachelor, master",no,29.56558569,81.5497582,Middle-age,1,4,0,1
467,Bajura,Seti,Mountain,Far-Western,2069,2012,Severe,Alcoholism,19,20,39,25,14.0,"College degree, bachelor, master",no,29.56558569,81.5497582,Middle-age,3,0,0,1
468,Bajura,Seti,Mountain,Far-Western,2069,2012,Major,Epilepsy,52,25,33,31,46.0,"College degree, bachelor, master",no,29.56558569,81.5497582,Middle-age,0,3,0,1
469,Bajhang,Seti,Mountain,Far-Western,2069,2012,Major,Depression,26,40,56,18,48.0,Up to 9 years of school,yes,29.70710581,81.14117632,old,0,2,6,3
470,Bajhang,Seti,Mountain,Far-Western,2069,2012,Major,Psychosis,48,34,33,38,44.0,"College degree, bachelor, master",no,29.70710581,81.14117632,Middle-age,0,6,0,1
471,Bajhang,Seti,Mountain,Far-Western,2069,2012,Severe,Anxiety,46,30,59,48,28.0,Up to 9 years of school,yes,29.70710581,81.14117632,old,3,1,6,3
472,Bajhang,Seti,Mountain,Far-Western,2069,2012,Minor,Mental retardation,29,43,44,34,38.0,PhD/Doctorate,yes,29.70710581,81.14117632,old,1,5,2,3
473,Bajhang,Seti,Mountain,Far-Western,2069,2012,Minor,Hysteria,39,50,22,20,69.0,Unknown,no,29.70710581,81.14117632,Middle-age,1,4,4,1
474,Bajhang,Seti,Mountain,Far-Western,2069,2012,Severe,Alcoholism,29,48,35,48,29.0,"College degree, bachelor, master",no,29.70710581,81.14117632,Middle-age,3,0,0,1
475,Bajhang,Seti,Mountain,Far-Western,2069,2012,Major,Epilepsy,26,34,20,47,13.0,"College degree, bachelor, master",no,29.70710581,81.14117632,Middle-age,0,3,0,1
476,Achham,Seti,Hill,Far-Western,2069,2012,Minor,Depression,58,22,34,43,37.0,"College degree, bachelor, master",no,29.09181279,81.31707255,Middle-age,1,2,0,1
477,Achham,Seti,Hill,Far-Western,2069,2012,Severe,Psychosis,60,48,37,38,70.0,"College degree, bachelor, master",no,29.09181279,81.31707255,Middle-age,3,6,0,1
478,Achham,Seti,Hill,Far-Western,2069,2012,Severe,Anxiety,55,51,51,55,51.0,Up to 12 years of school,yes,29.09181279,81.31707255,old,3,1,5,3
479,Achham,Seti,Hill,Far-Western,2069,2012,Major,Mental retardation,56,21,38,22,55.0,"College degree, bachelor, master",no,29.09181279,81.31707255,Middle-age,0,5,0,1
480,Achham,Seti,Hill,Far-Western,2069,2012,Severe,Hysteria,30,18,22,42,6.0,"College degree, bachelor, master",no,29.09181279,81.31707255,Middle-age,3,4,0,1
481,Achham,Seti,Hill,Far-Western,2069,2012,Minor,Alcoholism,31,33,53,43,21.0,"College degree, bachelor, master",yes,29.09181279,81.31707255,old,1,0,0,3
482,Achham,Seti,Hill,Far-Western,2069,2012,Severe,Epilepsy,25,47,53,36,36.0,"College degree, bachelor, master",yes,29.09181279,81.31707255,old,3,3,0,3
483,Doti,Seti,Hill,Far-Western,2069,2012,Major,Depression,25,20,35,28,17.0,"College degree, bachelor, master",no,29.17612357,80.88531019,Middle-age,0,2,0,1
484,Doti,Seti,Hill,Far-Western,2069,2012,Minor,Psychosis,34,53,56,20,67.0,Unknown,yes,29.17612357,80.88531019,old,1,6,4,3
485,Doti,Seti,Hill,Far-Western,2069,2012,Minor,Anxiety,24,29,39,30,23.0,"College degree, bachelor, master",no,29.17612357,80.88531019,Middle-age,1,1,0,1
486,Doti,Seti,Hill,Far-Western,2069,2012,Minor,Mental retardation,21,33,20,19,35.0,"College degree, bachelor, master",no,29.17612357,80.88531019,Middle-age,1,5,0,1
487,Doti,Seti,Hill,Far-Western,2069,2012,Major,Hysteria,27,25,28,40,12.0,"College degree, bachelor, master",no,29.17612357,80.88531019,Middle-age,0,4,0,1
488,Doti,Seti,Hill,Far-Western,2069,2012,Minor,Alcoholism,60,42,19,55,47.0,"Some College, short continuing education or equivalent",no,29.17612357,80.88531019,young,1,0,3,1
489,Doti,Seti,Hill,Far-Western,2069,2012,Major,Epilepsy,57,20,43,48,29.0,PhD/Doctorate,yes,29.17612357,80.88531019,old,0,3,2,3
490,Kailali,Seti,Terai,Far-Western,2069,2012,Major,Depression,31,30,29,32,29.0,"College degree, bachelor, master",no,28.76091877,80.82634991,Middle-age,0,2,0,1
491,Kailali,Seti,Terai,Far-Western,2069,2012,Major,Psychosis,40,21,60,25,36.0,Up to 9 years of school,yes,28.76091877,80.82634991,old,0,6,6,3
492,Kailali,Seti,Terai,Far-Western,2069,2012,Minor,Anxiety,56,23,19,48,31.0,Unknown,no,28.76091877,80.82634991,young,1,1,4,1
493,Kailali,Seti,Terai,Far-Western,2069,2012,Major,Mental retardation,49,21,52,22,48.0,"College degree, bachelor, master",yes,28.76091877,80.82634991,old,0,5,0,3
494,Kailali,Seti,Terai,Far-Western,2069,2012,Normal,Hysteria,36,37,38,55,18.0,"College degree, bachelor, master",Unknown,28.76091877,80.82634991,Middle-age,2,4,0,0
495,Kailali,Seti,Terai,Far-Western,2069,2012,Major,Alcoholism,20,19,22,39,0.0,"College degree, bachelor, master",no,28.76091877,80.82634991,Middle-age,0,0,0,1
496,Kailali,Seti,Terai,Far-Western,2069,2012,Normal,Epilepsy,30,44,49,59,15.0,"College degree, bachelor, master",yes,28.76091877,80.82634991,old,2,3,0,3
497,Kanchanpur,Mahakali,Terai,Far-Western,2069,2012,Minor,Depression,30,55,21,39,46.0,"College degree, bachelor, master",no,28.83479468,80.38209033,Middle-age,1,2,0,1
498,Kanchanpur,Mahakali,Terai,Far-Western,2069,2012,Major,Psychosis,24,56,56,26,54.0,Up to 9 years of school,yes,28.83479468,80.38209033,old,0,6,6,3
499,Kanchanpur,Mahakali,Terai,Far-Western,2069,2012,Minor,Anxiety,39,19,55,28,30.0,"College degree, bachelor, master",no,28.83479468,80.38209033,old,1,1,0,1
500,Kanchanpur,Mahakali,Terai,Far-Western,2069,2012,Minor,Mental retardation,24,54,32,26,52.0,"College degree, bachelor, master",Unknown,28.83479468,80.38209033,Middle-age,1,5,0,0
501,Kanchanpur,Mahakali,Terai,Far-Western,2069,2012,Normal,Hysteria,40,32,40,20,52.0,PhD/Doctorate,Unknown,28.83479468,80.38209033,old,2,4,2,0
502,Kanchanpur,Mahakali,Terai,Far-Western,2069,2012,Severe,Alcoholism,47,26,45,18,55.0,PhD/Doctorate,no,28.83479468,80.38209033,old,3,0,2,1
503,Kanchanpur,Mahakali,Terai,Far-Western,2069,2012,Normal,Epilepsy,35,60,18,3,92.0,Up to 12 years of school,no,28.83479468,80.38209033,young,2,3,5,1
504,Dadeldhura,Mahakali,Hill,Far-Western,2069,2012,Major,Depression,58,52,47,50,60.0,PhD/Doctorate,no,29.22747472,80.48540118,old,0,2,2,1
505,Dadeldhura,Mahakali,Hill,Far-Western,2069,2012,Major,Psychosis,42,29,55,31,40.0,Up to 9 years of school,no,29.22747472,80.48540118,old,0,6,6,1
506,Dadeldhura,Mahakali,Hill,Far-Western,2069,2012,Major,Anxiety,57,31,22,43,45.0,"College degree, bachelor, master",yes,29.22747472,80.48540118,Middle-age,0,1,0,3
507,Dadeldhura,Mahakali,Hill,Far-Western,2069,2012,Minor,Mental retardation,57,36,22,42,51.0,"College degree, bachelor, master",yes,29.22747472,80.48540118,Middle-age,1,5,0,3
508,Dadeldhura,Mahakali,Hill,Far-Western,2069,2012,Normal,Hysteria,53,28,49,19,62.0,"College degree, bachelor, master",Unknown,29.22747472,80.48540118,old,2,4,0,0
509,Dadeldhura,Mahakali,Hill,Far-Western,2069,2012,Major,Alcoholism,46,50,18,2,94.0,Up to 12 years of school,yes,29.22747472,80.48540118,young,0,0,5,3
510,Dadeldhura,Mahakali,Hill,Far-Western,2069,2012,Severe,Epilepsy,29,57,35,24,62.0,"College degree, bachelor, master",Unknown,29.22747472,80.48540118,Middle-age,3,3,0,0
511,Baitadi,Mahakali,Hill,Far-Western,2069,2012,Severe,Depression,47,59,46,51,55.0,PhD/Doctorate,Unknown,29.48338045,80.53566864,old,3,2,2,0
512,Baitadi,Mahakali,Hill,Far-Western,2069,2012,Major,Psychosis,25,58,49,26,57.0,"College degree, bachelor, master",Unknown,29.48338045,80.53566864,old,0,6,0,0
513,Baitadi,Mahakali,Hill,Far-Western,2069,2012,Severe,Anxiety,39,19,43,52,6.0,PhD/Doctorate,Unknown,29.48338045,80.53566864,old,3,1,2,0
514,Baitadi,Mahakali,Hill,Far-Western,2069,2012,Severe,Mental retardation,29,32,51,32,29.0,Up to 9 years of school,Unknown,29.48338045,80.53566864,old,3,5,6,0
515,Baitadi,Mahakali,Hill,Far-Western,2069,2012,Severe,Hysteria,18,25,33,20,23.0,"College degree, bachelor, master",Unknown,29.48338045,80.53566864,Middle-age,3,4,0,0
516,Baitadi,Mahakali,Hill,Far-Western,2069,2012,Minor,Alcoholism,42,20,31,43,19.0,Unknown,Unknown,29.48338045,80.53566864,Middle-age,1,0,4,0
517,Baitadi,Mahakali,Hill,Far-Western,2069,2012,Normal,Epilepsy,56,59,51,25,90.0,"College degree, bachelor, master",Unknown,29.48338045,80.53566864,old,2,3,0,0
518,Darchula,Mahakali,Mountain,Far-Western,2069,2012,Normal,Depression,58,48,49,55,51.0,"College degree, bachelor, master",Unknown,29.89271094,80.74136106,old,2,2,0,0
519,Darchula,Mahakali,Mountain,Far-Western,2069,2012,Minor,Psychosis,50,23,24,31,42.0,Unknown,yes,29.89271094,80.74136106,Middle-age,1,6,4,3
520,Darchula,Mahakali,Mountain,Far-Western,2069,2012,Severe,Anxiety,60,37,38,48,49.0,"College degree, bachelor, master",Unknown,29.89271094,80.74136106,Middle-age,3,1,0,0
521,Darchula,Mahakali,Mountain,Far-Western,2069,2012,Major,Mental retardation,49,40,21,51,38.0,"College degree, bachelor, master",yes,29.89271094,80.74136106,Middle-age,0,5,0,3
522,Darchula,Mahakali,Mountain,Far-Western,2069,2012,Minor,Hysteria,54,44,22,51,47.0,"College degree, bachelor, master",yes,29.89271094,80.74136106,Middle-age,1,4,0,3
523,Darchula,Mahakali,Mountain,Far-Western,2069,2012,Severe,Alcoholism,29,43,46,26,46.0,PhD/Doctorate,Unknown,29.89271094,80.74136106,old,3,0,2,0
524,Darchula,Mahakali,Mountain,Far-Western,2069,2012,Normal,Epilepsy,19,51,39,40,30.0,"College degree, bachelor, master",Unknown,29.89271094,80.74136106,Middle-age,2,3,0,0
525,Taplejung,Mechi,Mountain,Eastern,2070,2013,Severe,Depression,30,22,38,33,19.0,"College degree, bachelor, master",Unknown,27.61858869,87.85666093,Middle-age,3,2,0,0
526,Taplejung,Mechi,Mountain,Eastern,2070,2013,Major,Psychosis,27,29,54,33,23.0,Up to 9 years of school,Unknown,27.61858869,87.85666093,old,0,6,6,0
527,Taplejung,Mechi,Mountain,Eastern,2070,2013,Major,Anxiety,30,39,59,28,41.0,Up to 9 years of school,Unknown,27.61858869,87.85666093,old,0,1,6,0
528,Taplejung,Mechi,Mountain,Eastern,2070,2013,Normal,Mental retardation,36,32,21,21,47.0,"College degree, bachelor, master",yes,27.61858869,87.85666093,Middle-age,2,5,0,3
529,Taplejung,Mechi,Mountain,Eastern,2070,2013,Major,Hysteria,19,59,46,57,21.0,PhD/Doctorate,yes,27.61858869,87.85666093,old,0,4,2,3
530,Taplejung,Mechi,Mountain,Eastern,2070,2013,Major,Alcoholism,55,21,59,31,45.0,Up to 9 years of school,yes,27.61858869,87.85666093,old,0,0,6,3
531,Taplejung,Mechi,Mountain,Eastern,2070,2013,Major,Epilepsy,44,48,44,40,52.0,PhD/Doctorate,yes,27.61858869,87.85666093,old,0,3,2,3
532,Panchthar,Mechi,Hill,Eastern,2070,2013,Severe,Depression,55,49,32,32,72.0,"College degree, bachelor, master",Unknown,27.05953098,87.82000369,Middle-age,3,2,0,0
533,Panchthar,Mechi,Hill,Eastern,2070,2013,Normal,Psychosis,29,23,37,36,16.0,"College degree, bachelor, master",Unknown,27.05953098,87.82000369,Middle-age,2,6,0,0
534,Panchthar,Mechi,Hill,Eastern,2070,2013,Minor,Anxiety,57,26,37,45,38.0,"College degree, bachelor, master",Unknown,27.05953098,87.82000369,Middle-age,1,1,0,0
535,Panchthar,Mechi,Hill,Eastern,2070,2013,Minor,Mental retardation,25,36,43,30,31.0,PhD/Doctorate,yes,27.05953098,87.82000369,old,1,5,2,3
536,Panchthar,Mechi,Hill,Eastern,2070,2013,Normal,Hysteria,27,29,29,55,1.0,"College degree, bachelor, master",Unknown,27.05953098,87.82000369,Middle-age,2,4,0,0
537,Panchthar,Mechi,Hill,Eastern,2070,2013,Minor,Alcoholism,52,52,24,41,63.0,"College degree, bachelor, master",yes,27.05953098,87.82000369,Middle-age,1,0,0,3
538,Panchthar,Mechi,Hill,Eastern,2070,2013,Severe,Epilepsy,25,24,35,23,26.0,"College degree, bachelor, master",no,27.05953098,87.82000369,Middle-age,3,3,0,1
539,Ilam,Mechi,Hill,Eastern,2070,2013,Severe,Depression,23,59,59,45,37.0,"College degree, bachelor, master",yes,26.8560453,87.9452083,old,3,2,0,3
540,Ilam,Mechi,Hill,Eastern,2070,2013,Severe,Psychosis,55,58,53,58,55.0,"College degree, bachelor, master",yes,26.8560453,87.9452083,old,3,6,0,3
541,Ilam,Mechi,Hill,Eastern,2070,2013,Major,Anxiety,28,42,27,54,16.0,"College degree, bachelor, master",no,26.8560453,87.9452083,Middle-age,0,1,0,1
542,Ilam,Mechi,Hill,Eastern,2070,2013,Normal,Mental retardation,52,32,41,46,38.0,PhD/Doctorate,yes,26.8560453,87.9452083,old,2,5,2,3
543,Ilam,Mechi,Hill,Eastern,2070,2013,Severe,Hysteria,57,37,21,51,43.0,"College degree, bachelor, master",no,26.8560453,87.9452083,Middle-age,3,4,0,1
544,Ilam,Mechi,Hill,Eastern,2070,2013,Normal,Alcoholism,47,31,37,60,18.0,"College degree, bachelor, master",no,26.8560453,87.9452083,Middle-age,2,0,0,1
545,Ilam,Mechi,Hill,Eastern,2070,2013,Minor,Epilepsy,52,43,33,19,76.0,"College degree, bachelor, master",no,26.8560453,87.9452083,Middle-age,1,3,0,1
546,Jhapa,Mechi,Terai,Eastern,2070,2013,Major,Depression,57,28,34,24,61.0,"College degree, bachelor, master",no,26.57197501,87.95532113,Middle-age,0,2,0,1
547,Jhapa,Mechi,Terai,Eastern,2070,2013,Severe,Psychosis,35,20,43,41,14.0,PhD/Doctorate,yes,26.57197501,87.95532113,old,3,6,2,3
548,Jhapa,Mechi,Terai,Eastern,2070,2013,Normal,Anxiety,28,55,22,22,61.0,"College degree, bachelor, master",no,26.57197501,87.95532113,Middle-age,2,1,0,1
549,Jhapa,Mechi,Terai,Eastern,2070,2013,Normal,Mental retardation,21,35,43,25,31.0,PhD/Doctorate,yes,26.57197501,87.95532113,old,2,5,2,3
550,Jhapa,Mechi,Terai,Eastern,2070,2013,Severe,Hysteria,44,55,22,48,51.0,"College degree, bachelor, master",no,26.57197501,87.95532113,Middle-age,3,4,0,1
551,Jhapa,Mechi,Terai,Eastern,2070,2013,Major,Alcoholism,34,53,40,51,36.0,PhD/Doctorate,no,26.57197501,87.95532113,old,0,0,2,1
552,Jhapa,Mechi,Terai,Eastern,2070,2013,Normal,Epilepsy,48,31,60,32,47.0,Up to 9 years of school,no,26.57197501,87.95532113,old,2,3,6,1
553,Morang,Kosi,Terai,Eastern,2070,2013,Minor,Depression,60,46,54,51,55.0,"College degree, bachelor, master",no,26.58315547,87.45387395,old,1,2,0,1
554,Morang,Kosi,Terai,Eastern,2070,2013,Normal,Psychosis,46,40,35,43,43.0,"College degree, bachelor, master",no,26.58315547,87.45387395,Middle-age,2,6,0,1
555,Morang,Kosi,Terai,Eastern,2070,2013,Severe,Anxiety,35,57,30,24,68.0,"College degree, bachelor, master",no,26.58315547,87.45387395,Middle-age,3,1,0,1
556,Morang,Kosi,Terai,Eastern,2070,2013,Major,Mental retardation,42,18,30,37,23.0,"College degree, bachelor, master",no,26.58315547,87.45387395,Middle-age,0,5,0,1
557,Morang,Kosi,Terai,Eastern,2070,2013,Minor,Hysteria,47,31,55,40,38.0,Unknown,no,26.58315547,87.45387395,old,1,4,4,1
558,Morang,Kosi,Terai,Eastern,2070,2013,Minor,Alcoholism,49,39,29,54,34.0,"College degree, bachelor, master",no,26.58315547,87.45387395,Middle-age,1,0,0,1
559,Morang,Kosi,Terai,Eastern,2070,2013,Minor,Epilepsy,23,59,20,32,50.0,"College degree, bachelor, master",no,26.58315547,87.45387395,Middle-age,1,3,0,1
560,Sunsari,Kosi,Terai,Eastern,2070,2013,Normal,Depression,30,53,55,45,38.0,"College degree, bachelor, master",no,26.68353642,87.1812749,old,2,2,0,1
561,Sunsari,Kosi,Terai,Eastern,2070,2013,Minor,Psychosis,31,23,20,30,24.0,"College degree, bachelor, master",no,26.68353642,87.1812749,Middle-age,1,6,0,1
562,Sunsari,Kosi,Terai,Eastern,2070,2013,Minor,Anxiety,28,42,53,40,30.0,"College degree, bachelor, master",no,26.68353642,87.1812749,old,1,1,0,1
563,Sunsari,Kosi,Terai,Eastern,2070,2013,Minor,Mental retardation,57,43,37,23,77.0,"College degree, bachelor, master",no,26.68353642,87.1812749,Middle-age,1,5,0,1
564,Sunsari,Kosi,Terai,Eastern,2070,2013,Minor,Hysteria,35,24,35,45,14.0,"College degree, bachelor, master",no,26.68353642,87.1812749,Middle-age,1,4,0,1
565,Sunsari,Kosi,Terai,Eastern,2070,2013,Major,Alcoholism,57,57,31,41,73.0,"College degree, bachelor, master",no,26.68353642,87.1812749,Middle-age,0,0,0,1
566,Sunsari,Kosi,Terai,Eastern,2070,2013,Major,Epilepsy,24,59,32,22,61.0,"College degree, bachelor, master",no,26.68353642,87.1812749,Middle-age,0,3,0,1
567,Dhankuta,Kosi,Hill,Eastern,2070,2013,Minor,Depression,55,44,32,42,57.0,"College degree, bachelor, master",no,26.97426594,87.36675537,Middle-age,1,2,0,1
568,Dhankuta,Kosi,Hill,Eastern,2070,2013,Major,Psychosis,47,44,60,42,49.0,Up to 9 years of school,no,26.97426594,87.36675537,old,0,6,6,1
569,Dhankuta,Kosi,Hill,Eastern,2070,2013,Major,Anxiety,60,52,58,56,56.0,"College degree, bachelor, master",no,26.97426594,87.36675537,old,0,1,0,1
